Abstract ID	Abstract Sentence	adaptation2	adaptation3	adaptation1	generated
15902691	Muscle cramps are a common problem characterized by a sudden, painful, involuntary contraction of muscle.	Muscle cramps are a common problem represented by sudden, painful, involuntary muscle contractions.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Muscle cramps are a common problem characterized by a sudden, painful, involuntary contraction of muscle.    
15902691	These true cramps, which originate from peripheral nerves, may be distinguished from other muscle pain or spasm.	These true cramps, coming from nerves outside the brain and spinal cord, may be identifiable from other muscle pains.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: These true cramps, which originate from peripheral nerves, may be distinguished from other muscle pain or spasm.    
15902691	Medical history, physical examination, and a limited laboratory screen help to determine the various causes of muscle cramps.	Medical history, physical check-up, and lab screenings help determine different causes of muscle cramps.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Medical history, physical examination, and a limited laboratory screen help to determine the various causes of muscle cramps.    
15902691	"Despite the ""benign"" nature of cramps, many patients find the symptom very uncomfortable."	Despite their harmless nature, cramps are uncomfortable for many.			"    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Despite the ""benign"" nature of cramps, many patients find the symptom very uncomfortable.    "
15902691	Treatment options are guided both by experience and by a limited number of therapeutic trials.	Experience and limited medical studies guide treatment.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Treatment options are guided both by experience and by a limited number of therapeutic trials.    
15902691	Quinine sulfate is an effective medication, but the side-effect profile is worrisome, and other membrane-stabilizing drugs are probably just as effective.	Quinine sulfate (an antimalarial drug) helps, but its side-effects are problematic. Similar drugs may be just as helpful.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Quinine sulfate is an effective medication, but the side-effect profile is worrisome, and other membrane-stabilizing drugs are probably just as effective.    
15902691	Patients will benefit from further studies to better define the pathophysiology of muscle cramps and to find more effective medications with fewer side-effects.	More studies are needed to better define the effects of muscle cramps and find better medications.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Patients will benefit from further studies to better define the pathophysiology of muscle cramps and to find more effective medications with fewer side-effects.    
25432724	The dystonias are a group of disorders characterized by excessive involuntary muscle contractions leading to abnormal postures and/or repetitive movements.	Dystonias are disorders with a lot of uncontrollable muscle contractions leading to awkward poses and/or repetitive movements.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: The dystonias are a group of disorders characterized by excessive involuntary muscle contractions leading to abnormal postures and/or repetitive movements.    
25432724	A careful assessment of the clinical manifestations is helpful for identifying syndromic patterns that focus diagnostic testing on potential causes.	Checking the symptoms can help identify patterns that focus identification testing on possible causes.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: A careful assessment of the clinical manifestations is helpful for identifying syndromic patterns that focus diagnostic testing on potential causes.    
25432724	If a cause is identified, specific etiology-based treatments may be available.	If a cause is found, specific cause-based treatments may be available.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: If a cause is identified, specific etiology-based treatments may be available.    
